preferred_field_name;type_of_variable;percentage_of_missing_values;count_of_valid_values;count_of_invalid_values;distinct_count
COM_Sellnr;character;0,00;228696;0;64189
COM_Studentnummer;numeric;43,16;130000;98696;32494
COM_Vunet_id;character;43,13;130057;98639;32504
COM_Geslacht;character;0,00;228696;0;4
COM_Geboortedatum;POSIXct;0,02;228659;37;7438
COM_Landcode;character;10,41;204884;23812;2
COM_Woonplaats;character;9,67;206582;22114;2044
COM_Postcode;character;10,31;205122;23574;43116
COM_Provincie;character;10,37;204973;23723;13
COM_Soort;character;0,02;228644;52;8
COM_Korte_Naam_Product;character;0,02;228644;52;2260
COM_Voorlichting_Product;character;0,02;228644;52;405
COM_Versiecode;character;10,03;205757;22939;71
COM_Aanvraagdatum;POSIXct;10,03;205757;22939;1041
COM_Status;character;10,03;205757;22939;11
COM_Wervingsjaar;character;10,03;205757;22939;5
COM_Studiecode;character;14,49;195556;33140;136
COM_Isat_Code;numeric;15,49;193260;35436;123
COM_Opleiding;character;14,49;195556;33140;136
COM_Faculteit;character;13,91;196879;31817;14
COM_Fase;character;15,28;193762;34934;4
COM_Vooropleiding_Aks;character;18,19;187106;41590;25
COM_Vestigingsnummer_Brin;character;62,30;86214;142482;530
COM_Landscode_Internationale;character;21,22;180171;48525;158
COM_Verwacht_Startjaar;numeric;12,57;199940;28756;10
COM_Examenjaar;numeric;12,57;199944;28752;20
COM_International_Werving;numeric;94,66;12221;216475;2
COM_International_Lead;logical;99,94;128;228568;2
COM_International_Student;numeric;95,28;10793;217903;2
COM_Aangemeld;numeric;93,98;13763;214933;2
COM_Ingeschreven;logical;71,64;64847;163849;2
COM_Afgewezen;logical;86,83;30121;198575;2
COM_Aantal;numeric;10,86;203851;24845;2
