Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;Type_informatie
;Faculteit;FALSE;;0.00;;;;FALSE;
INS_Opleidingsnaam_2002;INS_Opleidingsnaam_2002;TRUE;character;0.00;;;;TRUE;factor
INS_Inschrijvingsjaar;INS_Inschrijvingsjaar;TRUE;numeric;0.00;2009;2022;;TRUE;integer
OPL_Matching_vragenlijst;OPL_Matching_vragenlijst;TRUE;subset;64.45;;;;FALSE;factor
OPL_Matching_activiteit_aanmelding_tm_1mei;OPL_Matching_activiteit_aanmelding_tm_1mei;TRUE;character;64.45;;;;FALSE;factor
OPL_Matching_activiteit_aanmelding_na_1mei;OPL_Matching_activiteit_aanmelding_na_1mei;TRUE;character;"	
64.45";;;;FALSE;factor
OPL_Numerus_fixus_selectie;OPL_Numerus_Fixus_Selectie;TRUE;character;91.66;;;;FALSE;factor
OPL_Numerus_fixus_selectie_capaciteit_max;OPL_Numerus_Fixus_Selectie_Capaciteit_Max;TRUE;character;94.14;;;;FALSE;factor
OPL_Numerus_fixus_perc_decentrale_selectie;OPL_Numerus_Fixus_Perc_Decentrale_Selectie;TRUE;numeric;95.63;0;100;;FALSE;integer
OPL_VU_alfa_beta_gamma;OPL_VU_Alfa_Beta_Gamma;TRUE;subset;67.09;;;;FALSE;factor
OPL_VU_gebied;OPL_VU_Gebied;TRUE;subset;64.45;;;;FALSE;factor
;OPL_BSA_Opleidingsnaam_2002;FALSE;;0.00;;;;FALSE;
;OPL_BSA_Faculteit_oud;FALSE;;0.00;;;;FALSE;
;OPL_BSA_Faculteit;FALSE;;0.00;;;;FALSE;
OPL_BSA_EC_eis_aug_jr1;OPL_BSA_EC_eis_aug_jr1;TRUE;numeric;67.09;36;60;;FALSE;integer
OPL_BSA_kwalitatieve_eis_aug_jr1;OPL_BSA_kwalitatieve_eis_aug_jr1;TRUE;logical;0.75;;;;FALSE;integer
OPL_BSA_beschr_kwalitatieve_eis_aug_jr1;OPL_BSA_Beschr_kwalitatieve_eis_aug_jr1;TRUE;character;89.88;;;;FALSE;factor
OPL_BSA_kwalitatieve_eis_aug_jr1_vakcode_1;OPL_BSA_kwalitatieve_eis_aug_jr1_vakcode_1;TRUE;character;89.88;;;;FALSE;factor
OPL_BSA_kwalitatieve_eis_aug_jr1_vakcode_2;OPL_BSA_kwalitatieve_eis_aug_jr1_vakcode_2;TRUE;character;97.93;;;;FALSE;factor
OPL_BSA_kwalitatieve_eis_aug_jr1_vakcode_3;OPL_BSA_kwalitatieve_eis_aug_jr1_vakcode_3;TRUE;character;99.83;;;;FALSE;factor
OPL_BSA_opmerking;OPL_BSA_Opmerking;TRUE;character;99.43;;;;FALSE;factor
OPL_Bekostiging;OPL_Bekostiging;TRUE;character;0.00;;;;FALSE;factor
OPL_Bekostigingsduur;OPL_Bekostigingsduur;TRUE;numeric;0.00;12;36;;FALSE;integer
OPL_Bekostigingsniveau;OPL_Bekostigingsniveau;TRUE;subset;0.00;;;;FALSE;factor
OPL_Onderdeel_CROHO;OPL_Onderdeel_CROHO;TRUE;character;0.12;;;;FALSE;factor
OPL_Studielast_nominaal;OPL_Studielast_nominaal;TRUE;numeric;0.00;60;180;;FALSE;integer
OPL_Instructietaal;OPL_Instructietaal;TRUE;subset;38.96;;;;FALSE;factor
OPL_Cluster_H2LS;OPL_Cluster_H2LS;TRUE;logical;0.58;;;;FALSE;integer
OPL_Cluster_BETA_EEE;OPL_Cluster_BETA_EEE;TRUE;logical;0.58;;;;FALSE;integer
OPL_Cluster_BETA_HLS;OPL_Cluster_BETA_HLS;TRUE;logical;0.58;;;;FALSE;integer
OPL_Cluster_BETA_IS;OPL_Cluster_BETA_IS;TRUE;logical;0.58;;;;FALSE;integer
OPL_Cluster_BETA_NSM;OPL_Cluster_BETA_NSM;TRUE;logical;0.58;;;;FALSE;integer
OPL_Einde_Instroom;OPL_Einde_Instroom;TRUE;character;99.49;;;;FALSE;factor
OPL_Opmerkingen;OPL_Opmerkingen;TRUE;character;99.54;;;;FALSE;factor
